accuracy,forward_time,frobenius,graph_id,hungarian_time,l1,model_kind,seed,split,total_time
1.0,0.05755220798891969,0.0,5,0.001202374987769872,0.0,gat,4,baseline_seen,0.05875458297668956
1.0,0.05572987500636373,0.0,5,0.00296883299597539,0.0,gat,5,baseline_seen,0.05869870800233912
1.0,0.05783258398878388,0.0,5,0.010415832992293872,0.0,gat,6,baseline_seen,0.06824841698107775
1.0,0.054106750001665205,0.0,5,0.001627208010177128,0.0,gat,7,baseline_seen,0.05573395801184233
1.0,0.06048841700248886,0.0,5,0.0013167079887352884,0.0,gat,8,baseline_seen,0.06180512499122415
1.0,0.05603062499722,0.0,5,0.0014348339900607243,0.0,gat,9,baseline_seen,0.057465458987280726
1.0,0.0507051250024233,0.0,6,0.0013864590000594035,0.0,gat,0,baseline_seen,0.052091584002482705
1.0,0.05586012499406934,0.0,6,0.0015691249864175916,0.0,gat,1,baseline_seen,0.05742924998048693
1.0,0.06037774999276735,0.0,6,0.0015120000025490299,0.0,gat,2,baseline_seen,0.06188974999531638
1.0,0.054702249995898455,0.0,6,0.0013503749942174181,0.0,gat,3,baseline_seen,0.056052624990115874
1.0,0.06441166700096801,0.0,6,0.0016285419987980276,0.0,gat,4,baseline_seen,0.06604020899976604
1.0,0.062269917005323805,0.0,6,0.0016548340063309297,0.0,gat,5,baseline_seen,0.06392475101165473
1.0,0.05661395900824573,0.0,6,0.0011517499951878563,0.0,gat,6,baseline_seen,0.057765709003433585
1.0,0.05123529200500343,0.0,6,0.0016393750120187178,0.0,gat,7,baseline_seen,0.05287466701702215
1.0,0.05607245799910743,0.0,6,0.0016279169940389693,0.0,gat,8,baseline_seen,0.0577003749931464
1.0,0.05551500000001397,0.0,6,0.001444916008040309,0.0,gat,9,baseline_seen,0.05695991600805428
1.0,0.05532670801039785,0.0,7,0.0014858750073472038,0.0,gat,0,baseline_seen,0.056812583017745055
