accuracy,dataset,frobenius,graph_id,l1,method,seed
0.7444444298744202,empirical,1.8653852939605713,183,0.007472682744264603,gat,3
0.02222222276031971,empirical,3.212590217590332,183,0.019083013758063316,faq,4
1.0,empirical,0.0,183,0.0,heuristic_strength,4
0.21111111342906952,empirical,3.0208096504211426,183,0.01631063036620617,heuristic_degree,4
1.0,empirical,0.0,183,0.0,heuristic_centrality,4
0.011111111380159855,empirical,3.097536563873291,183,0.017940374091267586,mlp_sinkhorn,4
0.42222222685813904,empirical,2.619358777999878,183,0.013063477352261543,gin,4
0.7333333492279053,empirical,1.9899802207946777,183,0.007741816807538271,gat,4
0.02222222276031971,empirical,3.212589979171753,183,0.019083013758063316,faq,5
1.0,empirical,0.0,183,0.0,heuristic_strength,5
0.25555557012557983,empirical,2.9559242725372314,183,0.016137123107910156,heuristic_degree,5
1.0,empirical,0.0,183,0.0,heuristic_centrality,5
0.0,empirical,3.059460163116455,183,0.017591271549463272,mlp_sinkhorn,5
0.4888888895511627,empirical,2.2587664127349854,183,0.011039352975785732,gin,5
0.7444444298744202,empirical,2.036403179168701,183,0.00794798880815506,gat,5
0.02222222276031971,empirical,3.212590217590332,183,0.019083013758063316,faq,6
1.0,empirical,0.0,183,0.0,heuristic_strength,6
0.24444444477558136,empirical,2.998453140258789,183,0.01624462753534317,heuristic_degree,6
1.0,empirical,0.0,183,0.0,heuristic_centrality,6
0.0,empirical,3.060534954071045,183,0.01760806329548359,mlp_sinkhorn,6
0.4888888895511627,empirical,2.584895372390747,183,0.012325478717684746,gin,6
0.7777777910232544,empirical,1.812409520149231,183,0.006835636682808399,gat,6
0.02222222276031971,empirical,3.212590217590332,183,0.019083013758063316,faq,7
1.0,empirical,0.0,183,0.0,heuristic_strength,7
0.31111112236976624,empirical,2.949667453765869,183,0.015717986971139908,heuristic_degree,7
1.0,empirical,0.0,183,0.0,heuristic_centrality,7
0.02222222276031971,empirical,3.102757692337036,183,0.017698848620057106,mlp_sinkhorn,7
0.4555555582046509,empirical,2.5869038105010986,183,0.012360621243715286,gin,7
0.7888888716697693,empirical,2.0296969413757324,183,0.006575876381248236,gat,7
0.02222222276031971,empirical,3.212589979171753,183,0.019083013758063316,faq,8
1.0,empirical,0.0,183,0.0,heuristic_strength,8
0.2666666805744171,empirical,2.8324131965637207,183,0.015424667857587337,heuristic_degree,8
1.0,empirical,0.0,183,0.0,heuristic_centrality,8
0.0,empirical,3.1005170345306396,183,0.017735326662659645,mlp_sinkhorn,8
0.4555555582046509,empirical,2.4338791370391846,183,0.012015617452561855,gin,8
0.8222222328186035,empirical,1.6950713396072388,183,0.005655374843627214,gat,8
0.02222222276031971,empirical,3.212589979171753,183,0.019083013758063316,faq,9
1.0,empirical,0.0,183,0.0,heuristic_strength,9
0.30000001192092896,empirical,2.8480052947998047,183,0.014984380453824997,heuristic_degree,9
1.0,empirical,0.0,183,0.0,heuristic_centrality,9
0.03333333507180214,empirical,3.0696935653686523,183,0.01766352728009224,mlp_sinkhorn,9
0.46666666865348816,empirical,2.361429452896118,183,0.011384519748389721,gin,9
0.7444444298744202,empirical,1.8851635456085205,183,0.007437420543283224,gat,9
0.04444444552063942,empirical,2.78318452835083,184,0.01663796231150627,faq,0
1.0,empirical,0.0,184,0.0,heuristic_strength,0
0.2666666805744171,empirical,2.4524030685424805,184,0.013554553501307964,heuristic_degree,0
1.0,empirical,0.0,184,0.0,heuristic_centrality,0
0.0,empirical,2.714608907699585,184,0.01579144597053528,mlp_sinkhorn,0
0.35555556416511536,empirical,2.3287317752838135,184,0.012396165169775486,gin,0
0.7222222089767456,empirical,1.9028575420379639,184,0.008181922137737274,gat,0
0.04444444552063942,empirical,2.785837411880493,184,0.016689324751496315,faq,1
1.0,empirical,0.0,184,0.0,heuristic_strength,1
0.3333333432674408,empirical,2.488361358642578,184,0.013710795901715755,heuristic_degree,1
1.0,empirical,0.0,184,0.0,heuristic_centrality,1
0.0,empirical,2.6932671070098877,184,0.015597010031342506,mlp_sinkhorn,1
0.31111112236976624,empirical,2.396127939224243,184,0.012953044846653938,gin,1
0.6555555462837219,empirical,1.934928297996521,184,0.008884548209607601,gat,1
0.04444444552063942,empirical,2.7831850051879883,184,0.01663796231150627,faq,2
1.0,empirical,0.0,184,0.0,heuristic_strength,2
0.35555556416511536,empirical,2.518242359161377,184,0.013565142638981342,heuristic_degree,2
1.0,empirical,0.0,184,0.0,heuristic_centrality,2
0.0,empirical,2.685441255569458,184,0.015503679402172565,mlp_sinkhorn,2
0.25555557012557983,empirical,2.39582896232605,184,0.013182946480810642,gin,2
0.6666666865348816,empirical,1.8828192949295044,184,0.008173210546374321,gat,2
0.04444444552063942,empirical,2.787702798843384,184,0.016715247184038162,faq,3
1.0,empirical,0.0,184,0.0,heuristic_strength,3
0.30000001192092896,empirical,2.513307571411133,184,0.013438503257930279,heuristic_degree,3
1.0,empirical,0.0,184,0.0,heuristic_centrality,3
0.011111111380159855,empirical,2.682858943939209,184,0.015628043562173843,mlp_sinkhorn,3
0.3222222328186035,empirical,2.3714599609375,184,0.012598325498402119,gin,3
0.6777777671813965,empirical,1.8565174341201782,184,0.007883686572313309,gat,3
0.04444444552063942,empirical,2.7844505310058594,184,0.016659362241625786,faq,4
1.0,empirical,0.0,184,0.0,heuristic_strength,4
0.21111111342906952,empirical,2.4856913089752197,184,0.013976270332932472,heuristic_degree,4
1.0,empirical,0.0,184,0.0,heuristic_centrality,4
0.0,empirical,2.6957433223724365,184,0.015651458874344826,mlp_sinkhorn,4
0.24444444477558136,empirical,2.429434299468994,184,0.013194686733186245,gin,4
0.6888889074325562,empirical,1.8361128568649292,184,0.00790239218622446,gat,4
0.04444444552063942,empirical,2.784449815750122,184,0.016659362241625786,faq,5
1.0,empirical,0.0,184,0.0,heuristic_strength,5
0.23333333432674408,empirical,2.4719595909118652,184,0.013712815009057522,heuristic_degree,5
1.0,empirical,0.0,184,0.0,heuristic_centrality,5
