forward_time,graph_id,hungarian time,model_kind,seed,split,total time
0.004405792002216913,12,0.0012073329999111593,mlp,2,baseline_seen,0.005613125002128072
0.004109707995667122,12,0.0009301250029238872,mlp,3,baseline_seen,0.0050398329985910095
0.00423941600456601,12,0.0008796659967629239,mlp,4,baseline_seen,0.005119082001328934
0.0042715829986264,12,0.0009834590018726885,mlp,5,baseline_seen,0.005255042000499088
0.004225165997922886,12,0.0009146250013145618,mlp,6,baseline_seen,0.005139790999237448
0.0044351250035106204,12,0.0011596670010476373,mlp,7,baseline_seen,0.005594792004558258
0.005044833000283688,12,0.0011350409986334853,mlp,8,baseline_seen,0.006179873998917174
0.004080334001628216,12,0.000993917004961986,mlp,9,baseline_seen,0.0050742510065902025
0.004130332999920938,13,0.001610458995855879,mlp,0,baseline_seen,0.005740791995776817
0.004553292004857212,13,0.0010152500035474077,mlp,1,baseline_seen,0.00556854200840462
0.0041702079979586415,13,0.0009799170002224855,mlp,2,baseline_seen,0.005150124998181127
0.004109207999135833,13,0.0011053330017603002,mlp,3,baseline_seen,0.0052145410008961335
0.004539958004897926,13,0.000912457995582372,mlp,4,baseline_seen,0.005452416000480298
0.004173665998678189,13,0.000980291995801963,mlp,5,baseline_seen,0.005153957994480152
0.00485149999440182,13,0.0010967499983962625,mlp,6,baseline_seen,0.0059482499927980825
0.004115167001145892,13,0.0008536669993191026,mlp,7,baseline_seen,0.0049688340004649945
0.0038477919952129014,13,0.0008435830022790469,mlp,8,baseline_seen,0.004691374997491948
0.004148374995565973,13,0.0012200830024085008,mlp,9,baseline_seen,0.005368457997974474
0.004121541998756584,14,0.0009156669984804466,mlp,0,baseline_seen,0.00503720899723703
0.004145208004047163,14,0.0008782500008237548,mlp,1,baseline_seen,0.005023458004870918
0.004776667003170587,14,0.0011601250007515773,mlp,2,baseline_seen,0.0059367920039221644
0.004682416998548433,14,0.0008295410007121973,mlp,3,baseline_seen,0.0055119579992606305
0.003884666999510955,14,0.0008200410011340864,mlp,4,baseline_seen,0.0047047080006450415
0.004802750001545064,14,0.0010144170009880327,mlp,5,baseline_seen,0.005817167002533097
