alignment_improvement,alignment_p_value,frobenius,graph_id,hub_overlap,hub_overlap_null_mean,hub_overlap_p_value,l1,model,random_l1_mean
-0.012080113547028095,0.968031968031968,2.400498867034912,219,0.1,0.1111,0.7232767232767233,0.02175680175423622,mlp,0.021497114174067973
-0.005181627584492601,0.7692307692307693,2.3934130668640137,220,0.1,0.1121,0.7032967032967034,0.021779293194413185,mlp,0.021667022751644255
-0.00851995260472425,0.8911088911088911,2.406597375869751,221,0.0,0.1056,1.0,0.02184973657131195,mlp,0.02166515051573515
-0.009095193867931858,0.906093906093906,2.3972835540771484,222,0.0,0.11480000000000001,1.0,0.021795783191919327,mlp,0.021599333070218562
-0.007810904472989276,0.8681318681318682,2.406292200088501,223,0.1,0.10840000000000001,0.6883116883116883,0.02189302258193493,mlp,0.021723343620076777
-0.006303626057843088,0.8261738261738262,2.3930704593658447,224,0.0,0.10980000000000001,1.0,0.02172442339360714,mlp,0.02158833857998252
-0.010437529906204735,0.932067932067932,2.4032821655273438,225,0.1,0.11520000000000001,0.7362637362637363,0.02195706218481064,mlp,0.02173025202937424
-0.014365282016426341,0.9760239760239761,2.396491289138794,226,0.0,0.112,1.0,0.021828467026352882,mlp,0.021519335700199007
-0.0036344495591907862,0.6823176823176823,2.3758747577667236,227,0.1,0.11420000000000002,0.7182817182817183,0.02155061811208725,mlp,0.02147257711365819
-0.011104397276863156,0.949050949050949,2.38996958732605,228,0.1,0.10670000000000002,0.7062937062937062,0.021882614120841026,mlp,0.021642289539799093
-0.000601613014227688,0.5254745254745254,2.382739782333374,229,0.1,0.10880000000000001,0.7072927072927073,0.02150932140648365,mlp,0.021496388899162413
-0.012326970140260319,0.9600399600399601,2.382241725921631,230,0.3,0.10960000000000002,0.07292707292707293,0.021729018539190292,mlp,0.02146442718617618
-0.011402665462901366,0.955044955044955,2.3953099250793457,231,0.1,0.11310000000000002,0.7242757242757243,0.021769678220152855,mlp,0.021524244461208583
-0.0072178148035295184,0.8401598401598401,2.3879201412200928,232,0.1,0.1106,0.7132867132867133,0.02176874689757824,mlp,0.021612750070169568
-0.0055317605599263355,0.7842157842157842,2.390047073364258,233,0.1,0.1134,0.7182817182817183,0.021751198917627335,mlp,0.02163153842650354
-0.005007718452779107,0.7712287712287712,2.387145757675171,234,0.0,0.1119,1.0,0.02166445180773735,mlp,0.021556502910330892
-0.004603483135129576,0.7362637362637363,2.3848488330841064,235,0.1,0.1124,0.7152847152847153,0.0215293075889349,mlp,0.021430651944130658
-0.01616417142526307,0.991008991008991,2.4044859409332275,236,0.0,0.11110000000000002,1.0,0.022066297009587288,mlp,0.02171528738178313
-0.0037629408158378966,0.7162837162837162,2.380723476409912,237,0.2,0.11030000000000001,0.3066933066933067,0.021521491929888725,mlp,0.021440811425447463
-0.012548791257179713,0.972027972027972,2.4015746116638184,238,0.1,0.1121,0.7272727272727273,0.021766675636172295,mlp,0.021496915332973
-0.011824907118010888,0.9530469530469531,2.3816397190093994,239,0.0,0.11470000000000001,1.0,0.02185814082622528,mlp,0.02160269101150334
